id,iso_a2,country,lifespan,quantifier,country_code,country_name,x2020,x2021,x2022,x2023,x2024,x2025,x2026,x2027,x2028,x2029,x2030,x2031,x2032,x2033,x2034,x2035,x2036,x2037,x2038,x2039,x2040,qpct,totalnets
Full CD: 70% target,LR,Liberia,1.5,25,LBR,Liberia,5087584,5193416,5302681,5418376,5536949,5657228,5779303,5902858,6028036,6154516,6282074,6410626,6539863,6670120,6800916,6932308,7064345,7196804,7329593,7462143,7594350,0.25,4243370
Full CD: 70% target,LR,Liberia,2,15,LBR,Liberia,5087584,5193416,5302681,5418376,5536949,5657228,5779303,5902858,6028036,6154516,6282074,6410626,6539863,6670120,6800916,6932308,7064345,7196804,7329593,7462143,7594350,0.15,2546022
Full CD: 70% target,LR,Liberia,2.5,12,LBR,Liberia,5087584,5193416,5302681,5418376,5536949,5657228,5779303,5902858,6028036,6154516,6282074,6410626,6539863,6670120,6800916,6932308,7064345,7196804,7329593,7462143,7594350,0.12,2036817.6
Full CD: 70% target,LR,Liberia,3,9,LBR,Liberia,5087584,5193416,5302681,5418376,5536949,5657228,5779303,5902858,6028036,6154516,6282074,6410626,6539863,6670120,6800916,6932308,7064345,7196804,7329593,7462143,7594350,0.09,1527613.2
Full CD: 70% target,LR,Liberia,3.5,8,LBR,Liberia,5087584,5193416,5302681,5418376,5536949,5657228,5779303,5902858,6028036,6154516,6282074,6410626,6539863,6670120,6800916,6932308,7064345,7196804,7329593,7462143,7594350,0.08,1357878.4
Full CD: 70% target,MG,Madagascar,1,29,MDG,Madagascar,28225177,28915653,29611714,30325732,31056610,31797306,32544738,33299316,34061942,34830840,35604443,36382790,37165274,37952413,38742689,39534122,40326745,41120987,41918816,42720774,43524300,0.29,27665609.66
Full CD: 70% target,MG,Madagascar,1.5,25,MDG,Madagascar,28225177,28915653,29611714,30325732,31056610,31797306,32544738,33299316,34061942,34830840,35604443,36382790,37165274,37952413,38742689,39534122,40326745,41120987,41918816,42720774,43524300,0.25,23849663.5
Full CD: 70% target,MG,Madagascar,2,15,MDG,Madagascar,28225177,28915653,29611714,30325732,31056610,31797306,32544738,33299316,34061942,34830840,35604443,36382790,37165274,37952413,38742689,39534122,40326745,41120987,41918816,42720774,43524300,0.15,14309798.099999998
Full CD: 70% target,MG,Madagascar,2.5,12,MDG,Madagascar,28225177,28915653,29611714,30325732,31056610,31797306,32544738,33299316,34061942,34830840,35604443,36382790,37165274,37952413,38742689,39534122,40326745,41120987,41918816,42720774,43524300,0.12,11447838.48
Full CD: 70% target,MG,Madagascar,3,9,MDG,Madagascar,28225177,28915653,29611714,30325732,31056610,31797306,32544738,33299316,34061942,34830840,35604443,36382790,37165274,37952413,38742689,39534122,40326745,41120987,41918816,42720774,43524300,0.09,8585878.86
Full CD: 70% target,MG,Madagascar,3.5,8,MDG,Madagascar,28225177,28915653,29611714,30325732,31056610,31797306,32544738,33299316,34061942,34830840,35604443,36382790,37165274,37952413,38742689,39534122,40326745,41120987,41918816,42720774,43524300,0.08,7631892.32
Full CD: 70% target,ML,Mali,1,24,MLI,Mali,21224040,21904983,22593590,23293698,24015789,24758658,25518081,26292781,27083625,27890510,28712294,29550408,30404609,31272674,32155238,33051142,33959625,34881647,35811410,36745659,37687790,0.24,17830206.72
Full CD: 70% target,ML,Mali,1.5,18,MLI,Mali,21224040,21904983,22593590,23293698,24015789,24758658,25518081,26292781,27083625,27890510,28712294,29550408,30404609,31272674,32155238,33051142,33959625,34881647,35811410,36745659,37687790,0.18,13372655.04
Full CD: 70% target,ML,Mali,2,12,MLI,Mali,21224040,21904983,22593590,23293698,24015789,24758658,25518081,26292781,27083625,27890510,28712294,29550408,30404609,31272674,32155238,33051142,33959625,34881647,35811410,36745659,37687790,0.12,8915103.36
Full CD: 70% target,ML,Mali,2.5,9,MLI,Mali,21224040,21904983,22593590,23293698,24015789,24758658,25518081,26292781,27083625,27890510,28712294,29550408,30404609,31272674,32155238,33051142,33959625,34881647,35811410,36745659,37687790,0.09,6686327.52
Full CD: 70% target,ML,Mali,3,7,MLI,Mali,21224040,21904983,22593590,23293698,24015789,24758658,25518081,26292781,27083625,27890510,28712294,29550408,30404609,31272674,32155238,33051142,33959625,34881647,35811410,36745659,37687790,0.07,5200476.96
Full CD: 70% target,ML,Mali,3.5,6,MLI,Mali,21224040,21904983,22593590,23293698,24015789,24758658,25518081,26292781,27083625,27890510,28712294,29550408,30404609,31272674,32155238,33051142,33959625,34881647,35811410,36745659,37687790,0.06,4457551.68
Full CD: 70% target,MR,Mauritania,1,24,MRT,Mauritania,4498604,4614974,4736139,4862989,4993922,5128142,5264526,5403200,5543996,5686446,5830562,5976298,6123818,6273096,6424062,6576462,6729985,6884282,7038820,7193387,7348229,0.24,3692781.5999999996
